"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.00370243272291028,-0.873661419455127,0.113,0.142,1,"PTGER2"
0.00382581059553331,-0.824878329026018,0.135,0.165,1,"N4BP2"
0.00383095281075332,-0.561227046592156,0.394,0.409,1,"BLTP1"
0.003848157604664,-0.545185351565821,0.23,0.261,1,"AHCTF1"
0.00395192126572139,-0.608164378625816,0.38,0.397,1,"ATP1A1"
0.00397071513551205,-0.51698267698457,0.43,0.44,1,"LRRC8C"
0.00406757730265013,-0.312816538232472,0.598,0.588,1,"VPS13B"
0.00409766552684927,-0.601574359239282,0.309,0.335,1,"CD58"
0.00411964981720093,-0.637340663765322,0.309,0.334,1,"CHD6"
0.00414463782342643,-1.02560417905065,0.092,0.119,1,"MED21"
0.00425590398545189,-0.451446250091981,0.454,0.466,1,"DYRK1A"
0.00429481548099934,-0.37402992609031,0.673,0.649,1,"N4BP2L2"
0.00432411882740544,0.332762092712603,0.119,0.092,1,"IQSEC2"
0.00434899982663947,-0.513663974362376,0.211,0.241,1,"PBXIP1"
0.0043757350094575,-0.711254565670977,0.146,0.176,1,"CREM"
0.00440986661776513,0.35489995557452,0.181,0.148,1,"FABP5"
0.00441924283650242,-0.683166201612746,0.222,0.249,1,"CCNT2"
0.00447398331473715,-0.597588045584464,0.228,0.258,1,"NUP153"
0.00450045534898009,-0.541312003128277,0.134,0.165,1,"MTMR1"
0.00462635230537086,-0.704496255209913,0.287,0.312,1,"RUNX2"
0.00466644739922467,-0.829455260181068,0.162,0.191,1,"SP140"
0.00470230067144971,-0.545615379814621,0.21,0.241,1,"CDR2"
0.00472660761041719,0.295350686531224,0.122,0.094,1,"BATF3"
0.0047345643293685,-0.725278543334748,0.159,0.19,1,"NAPSB"
0.00478320413800493,-0.818548290823257,0.107,0.135,1,"LARS2"
0.00480813358015946,-0.703853142241644,0.21,0.241,1,"THOC1"
0.00481324688594191,0.317369278183528,0.173,0.141,1,"FHL3"
0.00482642044497348,-0.531617594516398,0.146,0.176,1,"TARS3"
0.00491584434631335,-0.644935316518836,0.293,0.315,1,"CBFA2T2"
0.00495706265725884,-0.507632384255492,0.369,0.39,1,"PCED1B-AS1"
0.00496947525621235,-0.377863335815887,0.607,0.591,1,"PNISR"
0.00499305789068027,-0.699252605076262,0.204,0.234,1,"PDZD8"
0.00501928731877696,-0.770731459273878,0.118,0.147,1,"MED6"
0.00511492128772113,-0.530078137826385,0.24,0.269,1,"ITPKB"
